"Time","Positive","Neutral","Negative"
"02.12.2024 00:00",288220,764059,0
"09.12.2024 00:00",35489,1351026,0
"16.12.2024 00:00",38835,1439855,40076
"23.12.2024 00:00",251100,820912,0
"30.12.2024 00:00",0,604660,0
"06.01.2025 00:00",0,1264569,0
"13.01.2025 00:00",0,603546,0
"20.01.2025 00:00",0,445583,0
"27.01.2025 00:00",47300,195041,0
"03.02.2025 00:00",66500,777863,0
"10.02.2025 00:00",0,4427965,0
"17.02.2025 00:00",572800,899369,0
"24.02.2025 00:00",0,1312709,0
"03.03.2025 00:00",0,1022969,0
"10.03.2025 01:00",0,722286,0
"17.03.2025 01:00",0,743573,0
"24.03.2025 01:00",0,899903,0
"31.03.2025 01:00",0,1122038,0
"07.04.2025 01:00",68105,726842,0
"14.04.2025 01:00",35819,391115,0
"21.04.2025 01:00",0,1478313,0
"28.04.2025 01:00",0,155200,0
"05.05.2025 01:00",0,411720,0
"12.05.2025 01:00",15100,453416,0
"19.05.2025 01:00",38168,309529,0
"26.05.2025 01:00",47603,79200,0
"02.06.2025 01:00",158292,2338814,0
"09.06.2025 01:00",87955,486674,0
"16.06.2025 01:00",324613,155182,0
"23.06.2025 01:00",0,516188,0
"30.06.2025 01:00",27200,129800,0
"07.07.2025 01:00",0,6360882,0
"14.07.2025 01:00",0,1296296,0
"21.07.2025 01:00",0,234733,0
"28.07.2025 01:00",2524769,2309098,0
"04.08.2025 01:00",0,154205,0
"11.08.2025 01:00",0,1550499,0
"18.08.2025 01:00",201051,137011,0
"25.08.2025 01:00",0,760183,0
"01.09.2025 01:00",4066729,486334,0
"08.09.2025 01:00",0,407525,0
"15.09.2025 01:00",174296,247822,0
"22.09.2025 01:00",44923,637504,0
"29.09.2025 01:00",69283,378678,0
"06.10.2025 01:00",660776,1034286,0
"13.10.2025 01:00",105218,174791,0
"20.10.2025 01:00",0,2818405,0
"27.10.2025 01:00",209077,770979,0
"03.11.2025 00:00",0,958870,0
"10.11.2025 00:00",404397,761275,0
"17.11.2025 00:00",55898,1643550,0
"24.11.2025 00:00",0,55853,0
"01.12.2025 00:00",0,0,0