"Category","Series 1"
"<span>&nbsp;care bears</span>",2901
"💚",964
"✨",781
"<span>&nbsp;cute</span>",725
"<span>&nbsp;#fyp</span>",627
"❤️",572
"🌈",511
"<span>&nbsp;new</span>",508
"<span>&nbsp;#carebear</span>",502
"💖",480
"😍",466
"🥰",460
"😭",439
"<span>&nbsp;need</span>",430
"🧸",429
"<span>&nbsp;bear</span>",406
"<span>&nbsp;#bearybestie</span>",400
"🐻",392
"💕",383
"<span>&nbsp;little</span>",380
"™",379
"<span>&nbsp;want</span>",339
"<span>&nbsp;care</span>",333
"💙",325
"💜",322
"<span>&nbsp;make</span>",282
"<span>&nbsp;see</span>",277
"😂",274
"🎄",273
"💛",257
"🥹",240
"<span>&nbsp;#wicked</span>",238
"<span>&nbsp;know</span>",238
"<span>&nbsp;available</span>",236
"<span>&nbsp;love</span>",233
"<span>&nbsp;perfect</span>",226
"❤",222
"<span>&nbsp;barbie</span>",217
"💗",215
"<span>&nbsp;friend</span>",211
"<span>&nbsp;adorable</span>",209
"<span>&nbsp;#toycollector</span>",206
"<span>&nbsp;#christmas</span>",203
"<span>&nbsp;happy</span>",201
"<span>&nbsp;video</span>",199
"<span>&nbsp;kid</span>",191
"<span>&nbsp;#popmart</span>",189
"<span>&nbsp;full</span>",189
"<span>&nbsp;#wickedforgood</span>",185
"<span>&nbsp;thing</span>",178
"<span>&nbsp;christmas</span>",177
"<span>&nbsp;#unboxing</span>",176
"<span>&nbsp;grumpy bear</span>",176
"<span>&nbsp;look</span>",176
"<span>&nbsp;come</span>",174
"<span>&nbsp;fun</span>",168
"<span>&nbsp;#vintagetoys</span>",165
"<span>&nbsp;#viral</span>",164
"<span>&nbsp;#blindbox</span>",162
"<span>&nbsp;find</span>",161
"<span>&nbsp;life</span>",159
"<span>&nbsp;#80stoys</span>",159
"<span>&nbsp;think</span>",159
"<span>&nbsp;world</span>",158
"🎁",158
"<span>&nbsp;walmart</span>",155
"<span>&nbsp;store</span>",154
"<span>&nbsp;let</span>",154
"<span>&nbsp;first</span>",151
"<span>&nbsp;say</span>",150
"<span>&nbsp;#strawberryshortcake</span>",147
"<span>&nbsp;#strangerthings</span>",146
"<span>&nbsp;toy</span>",144
"🧡",143
"<span>&nbsp;stranger things</span>",143
"<span>&nbsp;many</span>",143
"<span>&nbsp;gift</span>",142
"<span>&nbsp;cheer bear</span>",140
"🤣",138
"<span>&nbsp;heart</span>",136
"<span>&nbsp;#blackfriday</span>",136
"<span>&nbsp;collection</span>",135
"<span>&nbsp;great</span>",135
"<span>&nbsp;cutest</span>",134
"<span>&nbsp;ready</span>",133
"<span>&nbsp;people</span>",132
"👀",131
"<span>&nbsp;other</span>",130
"<span>&nbsp;omg</span>",129
"<span>&nbsp;season</span>",128
"<span>&nbsp;#nostalgia</span>",128
"<span>&nbsp;girl</span>",126
"<span>&nbsp;take</span>",126
"<span>&nbsp;bring</span>",125
"<span>&nbsp;like</span>",124
"<span>&nbsp;old</span>",124
"<span>&nbsp;watch</span>",122
"<span>&nbsp;#vintagegrungegirl</span>",121
"<span>&nbsp;beautiful</span>",119
"<span>&nbsp;#cute</span>",117
"<span>&nbsp;going</span>",117
"<span>&nbsp;big</span>",117
"<span>&nbsp;amazing</span>",117
"<span>&nbsp;magic</span>",115
"<span>&nbsp;carebear</span>",115
"<span>&nbsp;#vintage</span>",115
"<span>&nbsp;last</span>",114
"<span>&nbsp;box</span>",113
"<span>&nbsp;#crystalart</span>",112
"<span>&nbsp;share</span>",111
"<span>&nbsp;#toys</span>",109
"<span>&nbsp;sweet</span>",109
"<span>&nbsp;comment</span>",107
"<span>&nbsp;buy</span>",105
"<span>&nbsp;wicked</span>",104
"<span>&nbsp;bag</span>",102
"<span>&nbsp;check</span>",101
"<span>&nbsp;#mylittlepony</span>",100
"<span>&nbsp;#hellokitty</span>",100
"<span>&nbsp;movie</span>",99
"<span>&nbsp;strawberry shortcake</span>",99
"<span>&nbsp;show</span>",97
"<span>&nbsp;#tiktokmademebuyit</span>",96
"<span>&nbsp;#shorts</span>",96
"😁",93
"<span>&nbsp;#wickedmovie</span>",92
"<span>&nbsp;wicked care bears</span>",92
"<span>&nbsp;#carebearcollection</span>",89
"<span>&nbsp;#80s</span>",88
"<span>&nbsp;funshine bear</span>",85
"<span>&nbsp;little pony</span>",79
"<span>&nbsp;bedtime bear</span>",78
"<span>&nbsp;doing</span>",77
"<span>&nbsp;share bear</span>",74
"<span>&nbsp;new care</span>",72