"Time","Mentions","Trends (y)","Trends (z)","Trends (y)","Trends (z)","Trends (y)","Trends (z)","Mentions"
"02.12.2024 00:00",1052279,,,,,,,
"09.12.2024 00:00",1386515,,,,,,,
"16.12.2024 00:00",1518766,,,,,,,
"23.12.2024 00:00",1072012,,,,,,,
"30.12.2024 00:00",604660,,,,,,,
"06.01.2025 00:00",1264569,,,,,,,
"13.01.2025 00:00",603546,,,,,,,
"20.01.2025 00:00",445583,,,,,,,
"27.01.2025 00:00",242341,,,,,,,
"03.02.2025 00:00",844363,,,,,,,
"10.02.2025 00:00",4427965,,,,,,,
"17.02.2025 00:00",1472169,,,,,,,
"24.02.2025 00:00",1312709,,,,,,,
"03.03.2025 00:00",1022969,,,,,,,
"10.03.2025 01:00",722286,,,,,,,
"17.03.2025 01:00",743573,,,,,,,
"24.03.2025 01:00",899903,,,,,,,
"31.03.2025 01:00",1122038,,,,,,,
"07.04.2025 01:00",794947,,,,,,,
"14.04.2025 01:00",426934,,,,,,,
"21.04.2025 01:00",1478313,,,,,,,
"28.04.2025 01:00",155200,,,,,,,
"05.05.2025 01:00",411720,,,,,,,
"12.05.2025 01:00",468516,,,,,,,
"19.05.2025 01:00",347697,,,,,,,
"26.05.2025 01:00",126803,,,,,,,
"02.06.2025 01:00",2497106,,,,,,,
"09.06.2025 01:00",574629,,,,,,,
"16.06.2025 01:00",479795,,,,,,,
"23.06.2025 01:00",516188,,,,,,,
"30.06.2025 01:00",157000,,,,,,,
"07.07.2025 01:00",6360882,,,,,,,
"14.07.2025 01:00",1296296,,,,,,,
"21.07.2025 01:00",234733,,,,,,,
"28.07.2025 01:00",4833867,,,,,,,
"04.08.2025 01:00",154205,,,,,,,
"11.08.2025 01:00",1550499,,,,,,,
"18.08.2025 01:00",338062,,,,,,,
"25.08.2025 01:00",760183,,,,,,,
"01.09.2025 01:00",4553063,,,,,,,
"08.09.2025 01:00",407525,,,,,,,
"15.09.2025 01:00",422118,,,,,,,
"22.09.2025 01:00",682427,,,,,,,
"29.09.2025 01:00",447961,,,,,,,
"06.10.2025 01:00",1695062,,,,,,,
"13.10.2025 01:00",280009,,,,,,,
"20.10.2025 01:00",2818405,,,,,,,
"27.10.2025 01:00",980056,,,,,,,
"03.11.2025 00:00",958870,,,,,,,
"10.11.2025 00:00",1165672,,,,,,,
"17.11.2025 00:00",1699448,,,,,,,
"24.11.2025 00:00",55853,,,,,,,
"01.12.2025 00:00",0,,,0,2017,,,0